Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,236.000000,238.000000,225.720001,234.000000,232.995773,1382
2018-01-01,234.000000,249.600006,234.000000,237.539993,236.520569,3480
2018-01-02,247.199997,247.199997,230.000000,232.500000,231.502228,1147
2018-01-03,239.979996,240.000000,224.000000,225.279999,224.313202,4487
2018-01-04,223.199997,247.800003,223.199997,247.800003,246.736557,50720
2018-01-05,256.000000,272.579987,256.000000,272.579987,271.410187,15647
2018-01-08,279.200012,299.820007,276.000000,299.820007,298.533325,25320
2018-01-09,314.000000,314.799988,284.899994,314.260010,312.911346,50795
2018-01-10,327.880005,329.920013,300.399994,304.019989,302.715271,30735
2018-01-11,300.980011,314.000000,300.980011,305.399994,304.089355,20517
2018-01-12,308.000000,314.000000,296.000000,298.279999,296.999939,6080
2018-01-15,298.279999,313.160004,298.279999,312.980011,311.636841,40030
2018-01-16,327.799988,327.799988,300.799988,313.480011,312.134674,6927
2018-01-17,315.200012,315.200012,304.500000,313.619995,312.274078,2807
2018-01-18,298.399994,312.000000,298.000000,300.799988,299.509064,6597
2018-01-19,304.000000,315.559998,300.000000,310.059998,308.729370,14227
2018-01-22,306.000000,325.559998,306.000000,325.559998,324.162842,31647
2018-01-23,335.600006,337.959991,315.220001,325.040009,323.645081,14377
2018-01-24,333.959991,333.959991,312.000000,320.519989,319.144470,9412
2018-01-25,323.200012,336.399994,308.600006,313.059998,311.716492,4730
2018-01-29,328.700012,328.700012,316.000000,316.859985,315.500153,7805
2018-01-30,326.799988,326.799988,301.019989,301.019989,299.728119,13652
2018-01-31,300.000000,313.200012,290.399994,297.820007,296.541870,3175
2018-02-01,297.739990,304.000000,284.000000,296.940002,295.665680,5515
2018-02-02,311.600006,311.600006,282.100006,282.100006,280.889374,5367
2018-02-05,268.000000,288.000000,268.000000,276.799988,275.612061,16880
2018-02-06,272.480011,286.000000,262.959991,282.279999,281.068573,6010
2018-02-07,292.000000,292.000000,272.799988,280.779999,279.575043,1992
